 FRONTS03.ACT: offset = 159728c, length = 000445, extra = 0011
 FRONTS04.MOD: offset = 1597449, length = 017711, extra = 0011
 FRONTS04.ACT: offset = 159b978, length = 000445, extra = 0011
 FRONTS05.MOD: offset = 159bb35, length = 018364, extra = 0011
 FRONTS05.ACT: offset = 15a02f1, length = 000445, extra = 0011
 FRONTS06.MOD: offset = 15a04ae, length = 019398, extra = 0011
 FRONTS06.ACT: offset = 15a5074, length = 000445, extra = 0011
 FRONTS07.MOD: offset = 15a5231, length = 021874, extra = 0011
   NASE07.ACT: offset = 15aa7a3, length = 000439, extra = 0011
  SEITE01.MOD: offset = 15aa95a, length = 014104, extra = 0011
  SEITE01.ACT: offset = 15ae072, length = 000439, extra = 0011
  SEITE02.MOD: offset = 15ae229, length = 013878, extra = 0011
  SEITE02.ACT: offset = 15b185f, length = 000880, extra = 0011
  SEITE03.MOD: offset = 15b1bcf, length = 020615, extra = 0011
  SEITE03.ACT: offset = 15b6c56, length = 000862, extra = 0011
  SEITE04.MOD: offset = 15b6fb4, length = 041733, extra = 0011
 MONOCO07.ACT: offset = 15c12b9, length = 000439, extra = 0011
 MONOCO08.MOD: offset = 15c1470, length = 099160, extra = 0011
 MONOCO08.ACT: offset = 15d97c8, length = 000433, extra = 0011
   NASE01.MOD: offset = 15d9979, length = 011928, extra = 0011
   NASE01.ACT: offset = 15dc811, length = 000439, extra = 0011
   NASE02.MOD: offset = 15dc9c8, length = 036230, extra = 0011
   NASE02.ACT: offset = 15e574e, length = 000427, extra = 0011
   NASE03.MOD: offset = 15e58f9, length = 019064, extra = 0011
  SEITE08.ACT: offset = 15ea371, length = 000445, extra = 0011
   TANK01.MOD: offset = 15ea52e, length = 049744, extra = 0011
   TANK01.ACT: offset = 15f677e, length = 000433, extra = 0011
   TANK02.MOD: offset = 15f692f, length = 036770, extra = 0011
   TANK02.ACT: offset = 15ff8d1, length = 000445, extra = 0011
   TANK03.MOD: offset = 15ffa8e, length = 023034, extra = 0011
   TANK03.ACT: offset = 1605488, length = 000439, extra = 0011
   TANK04.MOD: offset = 160563f, length = 026452, extra = 0011
  HUTZE08.ACT: offset = 160bd93, length = 000439, extra = 0011
  HUTZE09.MOD: offset = 160bf4a, length = 041874, extra = 0011
  HUTZE09.ACT: offset = 16162dc, length = 000439, extra = 0011
  HUTZE10.MOD: offset = 1616493, length = 042854, extra = 0011
  HUTZE10.ACT: offset = 1620bf9, length = 000445, extra = 0011
  HUTZE11.MOD: offset = 1620db6, length = 010229, extra = 0011
  HUTZE11.ACT: offset = 16235ab, length = 000424, extra = 0011
  HUTZE12.MOD: offset = 1623753, length = 010264, extra = 0011
  SEITE04.ACT: offset = 1625f6b, length = 000593, extra = 0011
  SEITE05.MOD: offset = 16261bc, length = 015900, extra = 0011
